date,open,high,low,close,adjusted_close,volume,warning
2024-06-10,453.84,462.23,451.51,459.94,459.94,3212350,
2024-06-11,456.91,462.74,455.5,462.69,462.69,2723659,
2024-06-12,470.0,471.12,459.16,459.87,459.87,3647447,
2024-06-13,457.87,462.3899,453.5,458.74,458.74,8557963,
2024-06-14,530.25,534.45,521.88,525.31,525.31,14846610,
2024-06-17,525.51,525.94,505.38,518.74,518.74,7163820,
2024-06-18,514.71,530.37,513.13,522.25,522.25,4225943,
2024-06-20,527.665,533.23,520.4,522.95,522.95,5752373,
2024-06-21,530.31,535.0,524.715,533.44,533.44,6614086,
2024-06-24,532.1,534.58,523.48,524.17,524.17,3067824,
2024-06-25,526.2,529.68,522.24,526.88,526.88,3144202,
2024-06-26,528.58,530.66,526.01,528.66,528.66,2931667,
2024-06-27,533.21,549.16,532.1,546.76,546.76,4734063,
2024-06-28,549.7,558.48,548.01,555.54,555.54,5084543,
2024-07-01,551.37,561.21,549.73,560.01,560.01,3070159,
2024-07-02,560.0,570.14,560.0,567.71,567.71,3054491,
2024-07-03,564.292,571.83,564.0001,570.15,570.15,1664373,
2024-07-05,570.91,580.55,568.92,578.34,578.34,2808635,
2024-07-08,573.18,576.745,563.92,575.4,575.4,3007422,
2024-07-09,573.05,575.01,562.46,566.02,566.02,2169020,
2024-07-10,564.71,566.93,558.21,564.55,564.55,2368443,
2024-07-11,564.0,572.62,557.09,557.63,557.63,3191358,
2024-07-12,555.1,562.49,552.315,559.05,559.05,2013985,
2024-07-15,560.23,568.23,560.23,565.71,565.71,1887763,
2024-07-16,564.6,570.1,562.08,566.54,566.54,1539875,
2024-07-17,563.93,565.0,556.46,563.09,563.09,2316265,
2024-07-18,564.18,564.26,556.07,556.85,556.85,2184657,
2024-07-19,557.05,561.09,548.96,551.0,551.0,2601942,
2024-07-22,558.65,560.19,552.7074,554.82,554.82,2391696,
2024-07-23,556.49,557.249,544.44,546.01,546.01,2363881,
2024-07-24,543.8,544.71,530.35,531.04,531.04,2630081,
2024-07-25,536.8,542.28,527.59,532.15,532.15,2136496,
2024-07-26,535.35,545.4999,533.33,542.44,542.44,2090007,
2024-07-29,544.3,544.3,535.19,536.61,536.61,1590551,
2024-07-30,541.85,543.67,530.9501,538.71,538.71,1566875,
2024-07-31,547.05,555.55,543.77,551.65,551.65,2776002,
2024-08-01,549.99,561.98,540.24,546.41,546.41,2075410,
2024-08-02,535.78,536.84,519.68,526.17,526.17,2729113,
2024-08-05,504.23,515.9,500.0,509.32,509.32,3432155,
2024-08-06,513.69,519.16,509.01,514.2,514.2,2076327,
2024-08-07,520.95,531.005,512.86,513.62,513.62,1663682,
2024-08-08,520.59,531.07,519.56,530.24,530.24,2155115,
2024-08-09,528.02,537.28,528.02,536.3,536.3,1272635,
2024-08-12,536.04,538.08,525.77,530.93,530.93,1450410,
2024-08-13,530.93,537.72,527.9,535.22,535.22,3063918,
2024-08-14,536.62,542.9205,533.2,539.79,539.79,1915589,
2024-08-15,545.19,557.22,545.01,554.16,554.16,2182382,
2024-08-16,552.35,554.76,547.8,553.46,553.46,1541726,
2024-08-19,550.59,563.77,550.59,563.12,563.12,1423293,
2024-08-20,564.48,568.18,559.61,562.25,562.25,1219609,
2024-08-21,562.13,566.6,557.91,565.79,565.79,1401708,
2024-08-22,567.07,572.0,555.65,557.44,557.44,1627658,
2024-08-23,565.45,566.52,552.5,558.3,558.3,2023465,
2024-08-26,555.03,560.26,555.03,559.44,559.44,1387479,
2024-08-27,554.4,569.52,554.3439,567.82,567.82,1404415,
2024-08-28,568.22,569.59,557.67,560.54,560.54,1289699,
2024-08-29,567.05,578.4,567.05,569.63,569.63,1955588,
2024-08-30,572.2,575.65,568.2865,574.41,574.41,1982970,
2024-09-03,576.3,586.695,566.79,571.04,571.04,2757360,
