date,open,high,low,close,adjusted_close,volume,warning
2024-06-10,413.34,413.94,409.27,410.81,410.81,2667300,
2024-06-11,408.88,408.91,406.11,408.5,408.5,3605900,
2024-06-12,411.09,411.89,407.16,408.77,408.77,3551900,
2024-06-13,407.63,408.0,403.57,405.92,405.92,4563300,
2024-06-14,404.9,406.34,403.33,405.54,405.54,2768600,
2024-06-17,405.18,407.82,403.55,407.32,407.32,3406500,
2024-06-18,406.75,408.5,405.28,407.95,407.95,4005300,
2024-06-20,407.25,411.0,404.05,409.15,409.15,4844700,
2024-06-21,409.82,410.47,407.68,409.62,409.62,9009400,
2024-06-24,410.7,417.0,410.0,413.98,413.98,4933300,
2024-06-25,414.0,414.25,409.62,410.97,410.97,3879800,
2024-06-26,410.02,410.68,407.25,410.26,410.26,3334300,
2024-06-27,410.26,410.26,406.34,407.95,407.95,3218600,
2024-06-28,408.25,410.05,405.79,406.8,406.8,6819800,
2024-07-01,408.09,409.67,403.82,405.19,405.19,2974100,
2024-07-02,404.02,407.39,403.92,407.1,407.1,3220900,
2024-07-03,407.16,407.16,404.22,405.77,405.77,1970300,
2024-07-05,406.24,411.4,405.03,411.17,411.17,5149200,
2024-07-08,411.27,413.79,408.0,409.08,409.08,3559500,
2024-07-09,409.42,413.71,408.64,410.52,410.52,2989700,
2024-07-10,410.81,413.96,409.4,413.79,413.79,3791800,
2024-07-11,413.99,419.2,412.0,418.78,418.78,4065200,
2024-07-12,420.23,427.45,419.7,424.44,424.44,4834600,
2024-07-15,425.59,434.71,425.3,434.42,434.42,4594900,
2024-07-16,437.4,439.05,434.02,438.9,438.9,4293700,
2024-07-17,437.85,446.15,437.84,445.61,445.61,4776600,
2024-07-18,445.62,449.25,439.57,441.82,441.82,4638300,
2024-07-19,442.67,442.8,433.35,434.47,434.47,4158800,
2024-07-22,435.05,438.11,432.12,435.98,435.98,2995700,
2024-07-23,437.34,437.92,433.47,434.01,434.01,2393000,
2024-07-24,433.99,435.41,430.73,432.8,432.8,3143700,
2024-07-25,431.6,439.63,431.6,433.29,433.29,3334300,
2024-07-26,435.66,439.0,434.1,437.66,437.66,2717600,
2024-07-29,438.01,439.44,435.49,438.31,438.31,2620000,
2024-07-30,439.51,443.89,439.14,441.26,441.26,3736400,
2024-07-31,439.85,440.85,437.74,438.5,438.5,3798800,
2024-08-01,439.67,440.61,430.95,431.81,431.81,3892300,
2024-08-02,429.77,436.25,423.49,428.36,428.36,4251500,
2024-08-05,413.43,417.82,406.11,413.72,413.72,7695100,
2024-08-06,416.41,427.46,415.1,422.14,422.14,5138700,
2024-08-07,426.07,433.17,425.6,427.02,427.02,4745600,
2024-08-08,429.24,432.26,427.6,431.54,431.54,3150000,
2024-08-09,431.92,434.75,430.21,431.67,431.67,2602600,
2024-08-12,434.16,434.16,429.01,430.39,430.39,2376000,
2024-08-13,431.83,432.81,425.9,432.41,432.41,3472000,
2024-08-14,433.0,438.98,431.71,438.47,438.47,2860200,
2024-08-15,441.8,442.59,438.72,440.84,440.84,3226400,
2024-08-16,441.55,445.2,440.45,444.51,444.51,3345000,
2024-08-19,446.01,450.45,445.73,448.77,448.77,3385300,
2024-08-20,449.3,450.5,446.38,448.36,448.36,2906500,
2024-08-21,449.84,451.28,443.84,446.6,446.6,3028500,
2024-08-22,446.3,449.6,444.65,449.03,449.03,3502800,
2024-08-23,450.0,453.72,448.81,453.38,453.38,2805400,
2024-08-26,455.31,459.27,453.34,454.49,454.49,3575800,
2024-08-27,455.94,462.1,454.62,460.63,460.63,3764700,
2024-08-28,461.17,466.6,460.78,464.59,464.59,4838100,
2024-08-29,467.11,469.85,463.0,468.37,468.37,4459400,
2024-08-30,470.52,476.95,470.0,475.92,475.92,7465800,
2024-09-03,475.0,482.89,473.72,476.83,476.83,7511900,
2024-09-04,478.68,484.82,474.22,478.57,478.57,5309400,
2024-09-05,479.43,479.43,462.88,464.92,464.92,6213200,
2024-09-06,463.82,468.17,458.55,459.42,459.42,4400300,
2024-09-09,463.97,466.0,459.26,459.61,459.61,4571000,
2024-09-10,461.82,464.32,456.21,458.92,458.92,3544100,
2024-09-11,457.62,457.62,445.25,453.1,453.1,5772700,
2024-09-12,454.84,455.0,449.27,450.87,450.87,3855700,
2024-09-13,451.58,452.43,447.21,447.61,447.61,3882600,
2024-09-16,448.8,452.99,448.34,451.78,451.78,3264400,
2024-09-17,453.5,461.1,453.29,456.68,456.68,3824300,
2024-09-18,458.08,459.84,454.88,456.6,456.6,3065200,
2024-09-19,462.0,462.19,457.25,459.71,459.71,3891300,
2024-09-20,457.76,457.95,454.05,455.31,455.31,8468800,
2024-09-23,457.31,459.65,453.42,454.98,454.98,3485100,
2024-09-24,454.33,455.6,451.77,454.56,454.56,3009900,
2024-09-25,454.9,455.81,451.21,452.36,452.36,2843300,
2024-09-26,452.74,457.0,451.34,454.18,454.18,3262000,
2024-09-27,456.04,458.27,455.04,457.47,457.47,2728000,
2024-09-30,458.4,460.63,454.55,460.26,460.26,3631100,
2024-10-01,459.11,459.79,454.82,457.41,457.41,3043700,
2024-10-02,458.7,458.7,454.19,456.67,456.67,2803400,
2024-10-03,455.47,455.97,450.92,452.96,452.96,2564700,
2024-10-04,455.01,462.18,453.81,461.97,461.97,3090200,
2024-10-07,462.34,462.34,452.41,453.5,453.5,3222100,
2024-10-08,455.96,457.56,452.85,453.8,453.8,2234100,
2024-10-09,452.75,457.88,452.36,455.9,455.9,2206100,
2024-10-10,457.5,457.51,452.72,454.93,454.93,2375800,
