date,open,high,low,close,adjusted_close,volume,warning
2024-06-10,199.24,200.84,198.44,199.61,195.0856,6071200,
2024-06-11,197.91,197.94,193.6,194.36,189.9546,9235300,
2024-06-12,196.0,196.72,191.31,191.53,187.1887,12751300,
2024-06-13,192.32,194.58,190.88,193.66,189.2704,8587800,
2024-06-14,191.45,194.86,191.42,193.78,189.3877,6874000,
2024-06-17,193.48,195.58,192.64,194.98,190.5605,8725400,
2024-06-18,194.6,197.96,194.13,197.0,192.5347,9023000,
2024-06-20,196.39,199.45,196.11,198.67,194.1669,8731100,
2024-06-21,196.71,197.17,194.22,196.3,191.8506,20972500,
2024-06-24,197.81,199.23,197.1,198.88,194.3721,9785900,
2024-06-25,198.09,200.07,197.74,198.07,193.5805,6915900,
2024-06-26,197.45,197.94,196.28,197.43,192.955,7758600,
2024-06-27,197.44,199.86,196.9,199.17,194.6555,7913500,
2024-06-28,200.01,202.6,199.3,202.26,197.6755,15307600,
2024-07-01,202.84,207.09,202.66,205.45,200.7932,10205800,
2024-07-02,205.29,208.86,204.77,208.83,204.0966,7802900,
2024-07-03,209.55,210.38,207.65,208.69,203.9598,5560900,
2024-07-05,206.99,207.37,204.52,204.79,201.2572,8093100,
2024-07-08,205.04,206.9,203.97,205.17,201.6306,8707000,
2024-07-09,205.63,209.76,205.45,207.63,204.0482,9058900,
2024-07-10,206.14,207.97,205.58,207.8,204.2153,8328500,
2024-07-11,206.21,208.1,205.38,207.45,203.8713,10658100,
2024-07-12,204.0,207.45,202.1,204.94,201.4046,15443400,
2024-07-15,207.19,211.61,206.72,210.05,206.4265,10719700,
2024-07-16,210.0,213.74,208.08,213.62,209.9349,11557000,
2024-07-17,213.8,217.56,213.27,216.87,213.1288,11572500,
2024-07-18,215.63,216.64,209.24,209.98,206.3577,12415100,
2024-07-19,211.2,212.35,208.92,209.78,206.1611,8095900,
2024-07-22,210.46,212.17,209.71,210.28,206.6525,7663200,
2024-07-23,211.02,211.48,209.35,210.33,206.7016,5557300,
2024-07-24,209.55,212.03,208.07,208.59,204.9917,7119000,
2024-07-25,208.65,210.19,208.05,208.67,205.0703,6403800,
2024-07-26,209.24,213.16,208.62,212.24,208.5787,8027800,
2024-07-29,212.65,213.61,210.55,210.85,207.2127,6533600,
2024-07-30,213.23,215.79,212.96,215.19,211.4778,8850700,
2024-07-31,214.78,216.39,212.67,212.8,209.129,9071600,
2024-08-01,213.2,213.83,206.38,207.96,204.3725,10918600,
2024-08-02,203.88,204.67,196.89,199.14,195.7047,18041700,
2024-08-05,194.05,196.17,190.9,194.9,191.5378,13927000,
2024-08-06,195.4,202.6,194.0,200.34,196.884,10605800,
2024-08-07,203.51,205.75,200.2,200.4,196.9429,9204400,
2024-08-08,202.47,204.91,201.79,204.06,200.5398,7761200,
2024-08-09,203.47,206.47,202.9,205.8,202.2498,5540200,
2024-08-12,206.41,207.14,203.66,206.19,202.6331,6936000,
2024-08-13,207.73,208.09,205.4,207.94,204.3529,6387800,
2024-08-14,207.74,210.76,207.12,210.24,206.6132,6999800,
2024-08-15,213.0,213.89,211.1,211.55,207.9006,7001000,
2024-08-16,211.69,214.09,211.59,213.97,210.2788,7931200,
2024-08-19,214.0,215.53,213.82,215.45,211.7333,6090800,
2024-08-20,215.0,216.0,213.68,214.52,210.8194,5640000,
2024-08-21,214.43,215.0,212.84,214.6,210.898,5202300,
2024-08-22,214.58,216.8,214.34,216.63,212.893,5247100,
2024-08-23,217.6,219.19,216.5,218.31,214.544,7214000,
2024-08-26,219.01,219.68,218.05,219.17,215.3891,5105200,
2024-08-27,219.51,220.42,219.19,220.18,216.3817,5185200,
2024-08-28,219.25,222.21,219.19,221.29,217.4726,6506400,
2024-08-29,222.15,222.98,218.94,222.21,218.3767,6416100,
2024-08-30,222.5,225.48,221.93,224.8,220.922,8574100,
2024-09-03,222.3,224.1,219.24,220.3,216.4996,8956100,
2024-09-04,221.04,222.07,217.21,219.33,215.5464,7389500,
2024-09-05,220.15,220.8,216.03,217.63,213.8757,8067900,
2024-09-06,217.6,218.74,211.09,212.46,208.7949,7777000,
2024-09-09,215.19,218.15,214.18,216.81,213.0698,8935100,
2024-09-10,218.6,218.64,200.61,205.56,202.0139,28406900,
2024-09-11,205.25,207.7,201.83,207.23,203.6551,13658700,
2024-09-12,207.65,208.78,204.89,206.6,203.036,9055800,
2024-09-13,206.86,207.85,203.02,204.32,200.7953,10226700,
2024-09-16,205.83,208.21,205.59,207.86,204.2742,8634900,
2024-09-17,207.73,209.93,207.66,209.25,205.6403,7573300,
2024-09-18,209.01,211.34,206.7,207.53,203.9499,8259900,
2024-09-19,209.78,211.91,207.34,210.48,206.849,11635200,
2024-09-20,209.93,211.42,209.5,211.09,207.4485,20885000,
2024-09-23,211.0,211.8,209.99,211.44,207.7925,7223500,
2024-09-24,211.15,212.95,210.37,211.59,207.9399,7323200,
2024-09-25,211.68,212.24,208.61,210.19,206.5641,8976500,
2024-09-26,211.13,211.7,209.01,209.78,206.1611,7807500,
2024-09-27,210.65,212.44,209.33,210.5,206.8687,7032500,
