date,open,high,low,close,adjusted_close,volume,warning
2024-06-10,448.42,450.17,444.37,449.25,446.6069,1954548,
2024-06-11,447.84,449.25,445.11,449.04,446.3981,1777281,
2024-06-12,451.49,452.5,441.6,443.0,440.3937,2738928,
2024-06-13,443.0,445.15,439.32,445.0,442.3819,2916648,
2024-06-14,443.34,444.9588,441.2,444.63,442.0141,2161546,
2024-06-17,442.43,449.34,441.68,448.11,445.4736,2351895,
2024-06-18,447.06,451.2,446.7,450.11,447.4618,2636506,
2024-06-20,451.06,454.4808,448.36,452.51,449.8477,3006765,
2024-06-21,452.19,455.3,450.26,454.85,452.174,5062383,
2024-06-24,454.93,463.07,454.93,456.96,454.2715,2597068,
2024-06-25,458.48,460.305,453.795,455.65,452.9692,2529625,
2024-06-26,452.75,454.6771,451.39,452.38,449.7185,2451388,
2024-06-27,448.57,448.7,442.0,442.75,440.1451,3313924,
2024-06-28,444.64,448.3,438.72,441.16,438.5645,4105179,
2024-07-01,440.8,442.465,435.55,437.61,435.0354,3149663,
2024-07-02,435.0,444.76,435.0,444.65,442.034,2061407,
2024-07-03,445.32,449.285,444.275,448.18,445.5432,3192350,
2024-07-05,447.11,449.95,444.275,449.49,446.8455,2220706,
2024-07-08,449.28,450.61,445.0,446.24,443.6146,1802729,
2024-07-09,446.65,447.58,442.79,444.7,442.7385,1608726,
2024-07-10,434.61,437.41,429.05,433.64,431.7273,4760902,
2024-07-11,432.0,437.77,430.1101,436.42,434.495,4032726,
2024-07-12,437.4,442.23,437.32,440.11,438.1687,2645729,
2024-07-15,440.33,444.4,438.74,444.0,442.0416,1727716,
2024-07-16,446.94,447.1584,439.7,443.53,441.5737,2846645,
2024-07-17,442.4,451.52,442.06,451.16,449.17,2924993,
2024-07-18,448.75,455.43,447.48,448.72,446.7408,3339984,
2024-07-19,451.22,451.24,443.57,443.69,441.7329,2121736,
2024-07-22,445.41,448.85,443.25,447.94,445.9642,2111943,
2024-07-23,448.05,448.74,441.11,441.72,439.7716,2385481,
2024-07-24,434.0,435.86,428.86,432.45,430.5425,3764823,
2024-07-25,433.94,437.7022,429.56,429.6,427.7051,2384325,
2024-07-26,432.28,440.7825,432.11,438.18,436.2473,2039595,
2024-07-29,438.8,442.92,435.42,441.3,439.3535,2248633,
2024-07-30,443.77,448.73,443.01,447.45,445.4764,2266899,
2024-07-31,462.0,474.0,457.54,463.71,461.6646,4313637,
2024-08-01,465.46,467.5,459.19,462.41,460.3704,2590132,
2024-08-02,460.22,466.75,458.61,462.02,459.9821,3808080,
2024-08-05,455.0,461.295,439.5901,442.0,440.0504,4496726,
2024-08-06,443.22,455.45,442.11,448.3,446.3226,2759051,
2024-08-07,450.53,456.92,449.04,449.84,447.8558,2059829,
2024-08-08,452.24,456.27,451.03,455.58,453.5705,1585584,
2024-08-09,455.58,458.8,453.46,456.78,454.7652,1760295,
2024-08-12,457.77,458.46,453.89,455.69,453.68,1760046,
2024-08-13,458.14,459.64,454.89,459.36,457.3338,1816206,
2024-08-14,459.26,460.54,456.07,460.16,458.1303,1654140,
2024-08-15,465.1,469.0,464.0,468.71,466.6426,2130571,
2024-08-16,468.0,470.26,466.04,468.88,466.8118,1922047,
2024-08-19,469.0,470.15,465.52,466.98,464.9202,1690880,
2024-08-20,468.13,469.67,465.51,469.12,467.0508,1763383,
2024-08-21,468.54,469.09,464.52,468.0,465.9357,2105889,
2024-08-22,469.49,470.91,466.7,468.82,466.7521,1538288,
2024-08-23,470.3,470.34,461.9,466.44,464.3826,1986348,
2024-08-26,468.1,470.53,467.0,468.64,466.5729,1434397,
2024-08-27,471.08,475.5,468.22,474.99,472.8949,1635908,
