date,open,high,low,close,adjusted_close,volume,warning
2024-06-10,493.86,502.66,493.41,502.6,500.7731,11236920,
2024-06-11,500.16,507.6,498.27,507.47,505.6254,9673715,
2024-06-12,513.99,514.01,504.47,508.84,506.9904,11983230,
2024-06-13,505.71,509.36,501.36,504.1,502.2677,9954621,
2024-06-14,502.65,507.15,500.75,504.16,502.8262,10243350,
2024-06-17,501.67,510.75,496.01,506.63,505.2897,11266600,
2024-06-18,504.56,506.0,495.02,499.49,498.1685,13060430,
2024-06-20,502.0,503.67,496.77,501.7,500.3727,11801180,
2024-06-21,503.45,503.45,492.39,494.78,493.471,23130730,
2024-06-24,499.2,507.8,494.29,498.91,497.5901,13525280,
2024-06-25,497.05,510.71,495.5,510.6,509.2492,12109770,
2024-06-26,506.645,513.81,504.6765,513.12,511.7625,8882337,
2024-06-27,514.25,522.8799,513.9,519.56,518.1855,10121200,
2024-06-28,517.15,521.88,503.84,504.22,502.886,15855140,
2024-07-01,504.95,506.58,493.17,504.68,503.3448,10328150,
2024-07-02,500.76,510.5,499.45,509.5,508.1521,7739479,
2024-07-03,506.37,511.28,506.02,509.96,508.6108,6005615,
2024-07-05,511.6,540.87,511.6,539.91,538.4816,21354090,
2024-07-08,542.35,542.81,526.65,529.32,527.9196,14917500,
2024-07-09,533.75,537.48,528.1901,530.0,528.5978,8769088,
2024-07-10,530.79,538.88,528.36,534.69,533.2754,10983280,
2024-07-11,530.89,535.46,508.3733,512.7,511.3436,16458250,
2024-07-12,497.755,508.09,494.23,498.87,497.5502,19750539,
2024-07-15,498.63,506.6799,493.37,496.16,494.8474,12539160,
2024-07-16,501.5,503.9499,485.79,489.79,488.4942,14075830,
2024-07-17,479.17,479.17,459.12,461.99,460.7678,28076600,
2024-07-18,475.0,479.2393,464.54,475.85,474.5911,19267160,
2024-07-19,476.06,486.71,475.71,476.79,475.5286,15149420,
2024-07-22,486.575,492.06,483.9,487.4,486.1105,12023090,
2024-07-23,489.84,495.22,487.72,488.69,487.3971,9455527,
2024-07-24,472.305,476.3,460.58,461.27,460.0497,17649740,
2024-07-25,463.26,463.548,442.65,453.41,452.2105,18240490,
2024-07-26,464.195,469.77,459.42,465.7,464.4679,14222390,
2024-07-29,469.88,473.96,465.02,465.71,464.4779,11339630,
2024-07-30,467.0,472.73,456.7,463.19,461.9646,11390440,
2024-07-31,471.02,476.5,466.75,474.83,473.5738,24285779,
2024-08-01,521.0,527.1709,492.1,497.74,496.4232,43083078,
2024-08-02,489.0,501.145,476.15,488.14,486.8486,24044660,
2024-08-05,451.345,483.48,450.8,475.73,474.4714,21396189,
2024-08-06,479.0,502.56,478.65,494.09,492.7828,20954961,
2024-08-07,503.13,510.15,486.86,488.92,487.6265,20105311,
2024-08-08,497.5,509.96,494.72,509.63,508.2817,16156840,
2024-08-09,507.71,518.34,505.7,517.77,516.4002,13696640,
2024-08-12,516.86,518.02,509.1,515.95,514.585,9767422,
2024-08-13,520.01,531.4999,518.15,528.54,527.1417,13743840,
2024-08-14,528.06,534.0,523.13,526.76,525.3664,11444190,
2024-08-15,531.79,539.77,526.7,537.33,535.9084,13482140,
2024-08-16,531.9,533.66,524.66,527.42,526.0247,14776680,
2024-08-19,526.87,531.66,522.76,529.28,527.8797,9879713,
