date,open,high,low,close,adjusted_close,volume,warning
2024-06-10,120.37,123.1,117.01,121.79,121.75,314162688,
2024-06-11,121.77,122.87,118.74,120.91,120.8802,222551203,
2024-06-12,123.06,126.88,122.57,125.2,125.1692,299595000,
2024-06-13,129.39,129.8,127.16,129.61,129.5781,260704500,
2024-06-14,129.96,132.84,128.32,131.88,131.8475,309320375,
2024-06-17,132.99,133.73,129.58,130.98,130.9477,288504375,
2024-06-18,131.14,136.33,130.69,135.58,135.5466,294335094,
2024-06-20,139.8,140.76,129.52,130.78,130.7478,517768375,
2024-06-21,127.12,130.63,124.3,126.57,126.5388,655484688,
2024-06-24,123.24,124.46,118.04,118.11,118.0809,476060906,
2024-06-25,121.2,126.5,119.32,126.09,126.0589,425787500,
2024-06-26,126.13,128.12,122.6,126.4,126.3689,362975906,
2024-06-27,124.1,126.41,122.92,123.99,123.9595,252571703,
2024-06-28,124.58,127.71,122.75,123.54,123.5096,315516719,
2024-07-01,123.47,124.84,118.83,124.3,124.2694,284885500,
2024-07-02,121.13,123.41,121.03,122.67,122.6398,218374000,
2024-07-03,121.66,128.28,121.36,128.28,128.2484,215748984,
2024-07-05,127.38,128.85,125.68,125.83,125.799,214176703,
2024-07-08,127.49,130.77,127.04,128.2,128.1684,237677297,
2024-07-09,130.35,133.82,128.65,131.38,131.3476,287020812,
2024-07-10,134.03,135.1,132.42,134.91,134.8768,248978594,
2024-07-11,135.75,136.15,127.05,127.4,127.3686,374782688,
2024-07-12,128.26,131.92,127.22,129.24,129.2082,252680500,
2024-07-15,130.56,131.39,127.18,128.44,128.4084,208326203,
2024-07-16,128.44,129.04,124.58,126.36,126.3289,214769500,
2024-07-17,121.35,121.85,116.72,117.99,117.9609,390086219,
2024-07-18,121.85,122.4,116.56,121.09,121.0602,320979500,
2024-07-19,120.35,121.6,117.37,117.93,117.9009,217223812,
2024-07-22,120.35,124.07,119.86,123.54,123.5096,258068891,
2024-07-23,122.78,124.69,122.1,122.59,122.5598,173911016,
2024-07-24,119.17,119.95,113.44,114.25,114.2219,327776906,
2024-07-25,113.04,116.63,106.3,112.28,112.2523,460067000,
2024-07-26,116.19,116.2,111.58,113.06,113.0321,293399094,
2024-07-29,113.69,116.28,111.3,111.59,111.5625,248152094,
2024-07-30,111.52,111.99,102.54,103.73,103.7044,486833312,
2024-07-31,112.9,118.34,110.88,117.02,116.9912,473174219,
2024-08-01,117.53,120.16,106.8104,109.21,109.1831,523462312,
2024-08-02,103.76,108.72,101.37,107.27,107.2436,482027500,
2024-08-05,92.06,103.41,90.69,100.45,100.4253,552842375,
2024-08-06,103.84,107.71,100.55,104.25,104.2243,409012094,
2024-08-07,107.81,108.8,98.69,98.91,98.8856,411440375,
2024-08-08,102.0,105.5,97.52,104.97,104.9441,391910031,
2024-08-09,105.64,106.6,103.43,104.75,104.7242,290844188,
2024-08-12,106.32,111.07,106.26,109.02,108.9931,325559906,
2024-08-13,112.44,116.23,111.58,116.14,116.1114,312646688,
2024-08-14,118.53,118.6,114.07,118.08,118.0509,339246406,
2024-08-15,118.76,123.24,117.47,122.86,122.8297,318086688,
2024-08-16,121.94,125.0,121.18,124.58,124.5493,302589875,
2024-08-19,124.28,130.0,123.42,130.0,129.968,318333594,
2024-08-20,128.4,129.88,125.89,127.25,127.2187,300087406,
2024-08-21,127.315,129.35,126.66,128.5,128.4683,257883594,
2024-08-22,130.02,130.75,123.1,123.74,123.7095,376189094,
2024-08-23,125.86,129.6,125.22,129.37,129.3381,323230312,
2024-08-26,129.57,131.26,124.37,126.46,126.4288,331964719,
2024-08-27,125.05,129.2,123.88,128.3,128.2684,303134594,
2024-08-28,128.12,128.33,122.64,125.61,125.5791,448101094,
2024-08-29,121.355,124.43,116.71,117.59,117.561,453023281,
2024-08-30,119.53,121.75,117.22,119.37,119.3406,333751625,
2024-09-03,116.01,116.21,107.29,108.0,107.9734,474972000,
2024-09-04,105.41,113.27,104.12,106.21,106.1838,372470312,
2024-09-05,104.985,109.65,104.76,107.21,107.1836,306850688,
2024-09-06,108.04,108.15,100.95,102.83,102.8047,413638125,
2024-09-09,104.88,106.55,103.69,106.47,106.4438,273912000,
2024-09-10,107.81,109.4,104.95,108.1,108.0734,268283688,
2024-09-11,109.39,117.19,107.42,116.91,116.8812,441422406,
2024-09-12,116.84,120.79,115.38,119.14,119.1208,367100500,
2024-09-13,119.08,119.955,117.6,119.1,119.0808,238358297,
2024-09-16,116.79,118.18,114.36,116.78,116.7612,248772297,
2024-09-17,118.17,118.8,114.83,115.59,115.5714,231925906,
2024-09-18,115.89,117.7,113.22,113.37,113.3518,310318906,
2024-09-19,117.35,119.66,117.25,117.87,117.851,293506406,
2024-09-20,117.06,118.6181,115.3901,116.0,115.9813,382462406,
2024-09-23,116.55,116.99,114.86,116.26,116.2413,206228500,
2024-09-24,116.515,121.8,115.38,120.87,120.8506,354966781,
2024-09-25,122.02,124.94,121.61,123.51,123.4901,284692906,
2024-09-26,126.8,127.665,121.8,124.04,124.02,302582906,
2024-09-27,123.97,124.03,119.26,121.4,121.3805,271009219,
2024-09-30,118.31,121.5,118.15,121.44,121.4205,227053703,
2024-10-01,121.765,122.4351,115.79,117.0,116.9812,302094500,
2024-10-02,116.44,119.38,115.14,118.85,118.8309,221845906,
2024-10-03,120.92,124.36,120.3401,122.85,122.8302,277118031,
2024-10-04,124.94,125.04,121.83,124.92,124.8999,244465594,
2024-10-07,124.99,130.64,124.95,127.72,127.6995,346250219,
2024-10-08,130.26,133.48,129.42,132.89,132.8686,285722500,
2024-10-09,134.11,134.52,131.38,132.65,132.6287,246191594,
2024-10-10,131.91,135.0,131.0,134.81,134.7883,242311297,
2024-10-11,134.01,135.78,133.66,134.8,134.7783,170209500,
2024-10-14,136.47,139.6,136.3,138.07,138.0478,232347703,
2024-10-15,137.87,138.57,128.74,131.6,131.5788,377831000,
2024-10-16,133.98,136.62,131.58,135.72,135.6982,264879688,
2024-10-17,139.34,140.89,136.87,136.93,136.908,306435906,
2024-10-18,138.665,138.9,137.28,138.0,137.9778,176090203,
2024-10-21,138.13,143.71,138.0,143.71,143.6869,264554500,
2024-10-22,142.91,144.42,141.78,143.59,143.5669,226311594,
2024-10-23,142.03,142.43,137.46,139.56,139.5376,285929969,
2024-10-24,140.82,141.35,138.46,140.41,140.3874,172354891,
2024-10-25,140.93,144.13,140.8,141.54,141.5172,205122094,
2024-10-28,143.0,143.14,140.05,140.52,140.4974,173586703,
2024-10-29,140.285,142.2598,138.9,141.25,141.2273,157593594,
2024-10-30,139.54,140.33,136.81,139.335,139.3126,179418094,
2024-10-31,137.6,137.61,132.1106,132.76,132.7386,270039625,
2024-11-01,134.7,137.31,134.57,135.4,135.3782,207127812,
2024-11-04,137.21,138.96,135.57,136.05,136.0281,187528188,
2024-11-05,137.45,140.3701,137.33,139.91,139.8875,160537406,
2024-11-06,142.96,146.49,141.96,145.61,145.5866,242043906,
2024-11-07,146.39,148.93,146.17,148.88,148.8561,207323297,
2024-11-08,148.77,149.77,146.26,147.63,147.6063,175665797,
2024-11-11,148.68,148.85,143.57,145.26,145.2366,182325594,
2024-11-12,146.78,149.65,146.01,148.29,148.2661,198634703,
2024-11-13,149.07,149.33,145.9,146.27,146.2465,191903297,
2024-11-14,147.64,149.0,145.55,146.76,146.7364,194463297,
2024-11-15,144.87,145.24,140.08,141.98,141.9572,250132891,
2024-11-18,139.5,141.55,137.15,140.15,140.1275,221866000,
2024-11-19,141.32,147.13,140.99,147.01,146.9864,227834891,
2024-11-20,147.41,147.56,142.73,145.89,145.8665,309871719,
2024-11-21,149.35,152.89,140.7,146.67,146.6464,400946594,
2024-11-22,145.93,147.16,141.1,141.95,141.9272,236406203,
