date,open,high,low,close,adjusted_close,volume,warning
2024-06-10,170.11,170.37,165.62,165.9,160.0696,9432639,
2024-06-11,164.87,165.46,163.51,165.07,159.2688,8284512,
2024-06-12,164.88,165.3275,162.4448,163.83,158.0724,6281102,
2024-06-13,162.08,163.56,161.54,163.33,157.59,5432649,
2024-06-14,163.13,164.39,162.5291,163.81,158.0531,3603340,
2024-06-17,163.49,166.41,162.79,166.14,160.3012,5412239,
2024-06-18,166.1,167.07,165.25,166.48,160.6293,3519509,
2024-06-20,165.73,167.64,165.73,166.68,160.8222,4942417,
2024-06-21,167.21,169.07,166.45,167.28,161.4011,10899240,
2024-06-24,167.5,169.6099,167.09,168.08,162.173,4476929,
2024-06-25,168.08,168.96,167.25,167.35,161.4687,4220902,
2024-06-26,165.89,167.01,164.85,166.74,160.8801,4778280,
2024-06-27,166.63,167.25,165.27,166.26,160.417,4326460,
2024-06-28,165.3,166.22,164.62,164.93,159.1337,8756033,
2024-07-01,165.04,166.06,162.58,162.89,157.1654,4508019,
2024-07-02,163.5,164.47,162.32,163.58,157.8312,4650803,
2024-07-03,162.92,164.13,161.96,162.6,156.8856,2879575,
2024-07-05,162.64,164.52,162.47,164.39,158.6127,4208217,
2024-07-08,163.06,163.75,161.92,162.12,156.4225,5268800,
2024-07-09,162.19,162.56,161.5,161.9,156.2102,5801833,
2024-07-10,161.84,163.77,160.66,163.59,157.8408,7372266,
2024-07-11,159.1,164.89,158.03,163.95,158.1882,10259330,
2024-07-12,164.96,168.03,164.96,166.38,160.5328,6677035,
2024-07-15,166.01,166.2981,163.65,163.86,158.1013,4551803,
2024-07-16,163.41,165.04,162.84,164.76,158.9697,4461676,
2024-07-17,166.04,170.07,165.8913,169.89,163.9194,7670981,
2024-07-18,168.71,172.67,168.39,170.37,164.3826,6228568,
2024-07-19,170.28,170.485,168.47,169.36,163.4081,5332848,
2024-07-22,169.26,169.71,167.35,167.66,161.7678,5308367,
2024-07-23,167.79,168.36,166.18,166.28,160.4363,3344293,
2024-07-24,166.28,168.67,164.95,168.17,162.2599,5867046,
2024-07-25,169.49,173.49,168.86,171.02,165.0097,6270889,
2024-07-26,170.73,172.76,170.73,172.75,166.6789,5746255,
2024-07-29,172.29,173.49,170.85,173.21,167.1227,4152662,
2024-07-30,172.69,173.45,171.55,173.18,167.0938,4994644,
2024-07-31,173.92,174.69,172.2557,172.67,166.6017,6245571,
2024-08-01,172.53,175.56,172.5,174.96,168.8112,5994458,
2024-08-02,178.84,179.95,173.84,178.04,171.783,6856083,
2024-08-05,179.52,180.91,173.16,174.04,167.9236,7502535,
2024-08-06,173.28,176.21,172.36,172.49,166.4281,7287051,
2024-08-07,171.62,174.39,171.33,171.79,165.7527,5429077,
2024-08-08,170.21,173.0,169.81,172.37,166.3123,5112483,
2024-08-09,172.09,172.78,170.39,172.39,166.3316,3223163,
2024-08-12,172.24,172.87,170.705,171.42,165.3957,3802411,
2024-08-13,171.62,172.42,170.22,172.37,166.3123,3894698,
2024-08-14,172.23,174.34,171.93,173.71,167.6052,3555959,
2024-08-15,173.71,174.3,171.83,172.52,166.457,4472137,
2024-08-16,172.52,172.78,171.1059,172.62,166.5535,4614804,
2024-08-19,172.66,173.98,172.44,173.82,167.7113,3521653,
2024-08-20,173.53,176.03,172.5,175.85,169.67,5330053,
2024-08-21,175.94,176.82,174.6239,175.21,169.0525,4020749,
2024-08-22,175.83,176.08,174.7,175.74,169.5638,5265989,
2024-08-23,176.63,176.68,173.67,175.87,169.6893,5283617,
2024-08-26,176.32,176.84,175.73,175.97,169.7858,4146861,
2024-08-27,176.31,176.88,174.52,175.3,169.1393,3520562,
2024-08-28,175.55,175.7432,173.35,173.92,167.8078,3915499,
2024-08-29,173.76,173.96,171.91,172.09,166.0421,4654540,
2024-08-30,172.06,173.56,171.25,172.88,166.8043,8677312,
2024-09-03,172.38,177.89,171.88,177.54,171.3006,7031680,
2024-09-04,177.9,179.65,176.29,178.52,172.2461,6188454,
2024-09-05,178.73,179.73,177.52,179.3,172.9987,5743141,
2024-09-06,177.44,178.58,177.0,177.34,172.4105,6395276,
2024-09-09,177.05,178.79,175.855,178.19,173.2369,4666169,
2024-09-10,178.65,179.1,177.64,177.81,172.8675,4315764,
2024-09-11,177.44,177.75,174.425,175.78,170.8939,4035975,
2024-09-12,175.78,177.69,173.95,177.25,172.323,4224894,
2024-09-13,177.445,177.96,176.365,177.36,172.43,3290404,
2024-09-16,179.0,179.425,176.35,177.21,172.2842,4940100,
2024-09-17,177.0,178.09,176.3,176.87,171.9536,6305100,
2024-09-18,176.86,178.06,174.43,175.21,170.3397,5307852,
2024-09-19,175.75,176.22,174.15,174.66,169.805,5504038,
2024-09-20,172.57,173.77,170.22,171.18,166.4218,12198430,
2024-09-23,170.87,173.94,170.725,172.11,167.3259,5350483,
2024-09-24,170.99,171.6,169.5,169.92,165.1968,7837853,
2024-09-25,170.4,170.765,168.7623,169.4,164.6912,4505130,
2024-09-26,169.22,171.0,168.68,169.69,164.9732,5673635,
2024-09-27,169.96,171.645,169.68,170.0,165.2746,7545935,
2024-09-30,170.58,171.74,169.58,170.05,165.3232,5054615,
2024-10-01,171.29,171.94,169.77,171.38,166.6162,7095860,
2024-10-02,171.5,171.74,168.52,169.55,164.8371,5785972,
2024-10-03,168.14,169.105,167.17,168.53,163.8454,5090330,
2024-10-04,167.15,168.5,166.82,167.97,163.301,4391321,
2024-10-07,167.72,167.93,166.455,167.21,162.5621,5459506,
2024-10-08,167.72,170.65,166.85,170.42,165.6829,8297792,
2024-10-09,169.38,173.28,169.1,172.54,167.744,7177529,
2024-10-10,172.07,173.06,171.22,172.99,168.1815,5292404,
2024-10-11,174.0,175.175,172.87,174.81,169.9509,4720299,
2024-10-14,174.955,176.27,174.44,176.1,171.205,4536048,
2024-10-15,176.355,177.39,175.12,175.9,171.0106,5802290,
2024-10-16,175.01,175.33,173.63,174.48,169.63,4400852,
2024-10-17,174.38,175.47,173.695,174.67,169.8148,4125910,
2024-10-18,172.3,175.33,172.12,175.06,170.1939,5097170,
2024-10-21,174.46,177.5,174.3487,175.01,170.1453,6436516,
2024-10-22,174.51,174.95,173.505,174.37,169.5231,3790452,
2024-10-23,173.7,173.84,172.47,172.95,168.1426,3800654,
2024-10-24,172.92,173.535,171.7,172.16,167.3745,4244903,
2024-10-25,172.47,174.0,171.6,171.79,167.0148,4442863,
2024-10-28,172.98,172.98,169.725,169.84,165.119,5186635,
2024-10-29,169.2,169.2,166.97,167.5,162.8441,5127890,
2024-10-30,167.0,167.6399,166.08,166.21,161.5899,4801541,
2024-10-31,166.1,167.5048,165.81,166.08,161.4635,5582423,
2024-11-01,166.09,166.25,165.21,165.59,160.9871,6339121,
2024-11-04,165.59,166.65,165.1852,166.34,161.7163,4885472,
2024-11-05,165.95,167.96,165.67,167.85,163.1843,3678708,
2024-11-06,167.37,167.41,163.6,164.71,160.1316,7849309,
2024-11-07,164.5,164.9,163.47,164.0,159.4413,5333532,
2024-11-08,163.84,165.82,163.645,165.11,160.5205,4618265,
2024-11-11,164.41,166.15,163.98,164.26,159.6941,3761969,
2024-11-12,164.09,165.0,163.15,164.34,159.7719,5386925,
2024-11-13,163.49,164.8,162.37,164.74,160.1608,4145443,
2024-11-14,164.74,166.885,163.83,165.15,160.5594,5422685,
2024-11-15,164.38,164.38,158.05,158.62,154.2109,9108948,
2024-11-18,159.405,159.85,157.76,158.33,153.929,6992040,
2024-11-19,157.75,157.87,155.85,156.72,152.3637,8248864,
2024-11-20,156.45,159.11,156.2,158.74,154.3276,5067255,
2024-11-21,158.39,160.5,157.95,160.34,155.8831,5976987,
2024-11-22,160.9,162.06,159.89,162.0,157.4969,5846256,
2024-11-25,162.7,163.59,162.0,163.05,158.5178,8580393,
2024-11-26,163.27,163.68,161.9,162.16,157.6525,4653842,
2024-11-27,161.94,165.13,161.68,162.72,158.1969,3622893,
2024-11-29,161.43,163.585,160.95,163.45,158.9066,2799312,
2024-12-02,163.315,163.65,161.76,163.05,158.5178,4967612,
2024-12-03,162.84,163.05,161.42,161.7,157.2053,4277392,
2024-12-04,160.6,161.0327,159.41,160.18,155.7275,6964605,
2024-12-05,160.93,161.01,158.83,160.49,156.0289,5229646,
2024-12-06,159.35,160.8,157.69,157.79,154.7102,8359166,
2024-12-09,157.91,161.5,157.14,159.47,156.3574,8380406,
2024-12-10,159.0,160.42,157.35,159.84,156.7202,5329401,
2024-12-11,160.21,160.515,156.26,156.77,153.7101,7925928,
2024-12-12,159.09,159.4,157.97,158.9,155.7985,6849507,
2024-12-13,157.53,159.57,157.06,157.97,154.8867,4353854,
2024-12-16,157.85,158.82,155.88,156.02,152.9747,6696490,
2024-12-17,155.74,158.5,155.24,156.14,153.0924,6572560,
2024-12-18,155.03,155.83,154.11,154.43,151.4157,7620865,
2024-12-19,153.09,154.0794,151.41,151.47,148.5135,9829489,
2024-12-20,150.86,153.49,150.51,152.79,149.8078,19205160,
2024-12-23,152.41,152.41,149.7056,151.29,148.337,6822232,
2024-12-24,150.5,152.83,150.41,152.81,149.8274,3399800,
2024-12-26,152.53,153.1799,152.24,152.44,149.4646,5529590,
2024-12-27,151.29,153.47,151.26,152.89,149.9058,4287007,
2024-12-30,152.66,153.09,151.09,151.72,148.7586,5397016,
2024-12-31,151.8,153.15,150.94,152.06,149.092,4274960,
2025-01-02,152.88,153.66,149.89,150.21,147.2781,4970233,
2025-01-03,150.96,150.96,149.56,149.65,146.729,5221639,
2025-01-06,149.6,149.95,146.1,146.27,143.415,9470626,
2025-01-07,146.46,147.97,145.34,145.4,142.562,7473300,
2025-01-08,145.4,146.67,144.56,146.54,143.6797,6791848,
2025-01-10,145.0,145.575,141.51,142.64,139.8559,9632651,
2025-01-13,142.79,145.14,142.14,144.5,141.6796,8101358,
2025-01-14,144.19,145.14,143.56,144.95,142.1208,6996448,
2025-01-15,145.49,146.2,144.17,144.78,141.9541,7141555,
2025-01-16,144.05,146.79,143.69,146.54,143.6797,5068040,
2025-01-17,147.72,148.62,147.17,148.25,145.3564,7338870,
2025-01-21,148.33,149.78,147.77,148.55,145.6505,7456182,
2025-01-22,148.23,149.45,147.79,148.09,145.1995,5905060,
2025-01-23,148.49,148.9399,146.61,148.62,145.7192,4759125,
2025-01-24,148.82,149.31,148.13,149.12,146.2094,4509550,
2025-01-27,150.92,155.47,150.895,154.61,151.5922,9820585,
2025-01-28,154.145,154.61,150.12,150.25,147.3173,6349670,
2025-01-29,151.13,152.0,150.23,150.37,147.435,4874072,
2025-01-30,151.28,153.08,150.63,151.9,148.9351,4671278,
2025-01-31,150.76,151.69,150.27,150.69,147.7487,4906744,
2025-02-03,149.755,151.13,148.83,150.27,147.3369,7196227,
2025-02-04,146.1,147.75,143.0,143.49,140.6893,12804950,
2025-02-05,143.39,145.79,142.7,145.66,142.8169,9249234,
2025-02-06,146.26,146.9,143.96,145.35,142.513,5604877,
2025-02-07,145.01,145.15,143.9,144.58,141.758,5872343,
2025-02-10,144.35,144.52,143.01,144.35,141.5325,8715391,
2025-02-11,144.37,145.72,143.4,145.64,142.7973,6353965,
2025-02-12,144.04,144.78,143.03,143.99,141.1795,6658177,
2025-02-13,144.23,144.935,143.6,144.58,141.758,7175276,
2025-02-14,144.67,146.17,143.33,143.39,140.5912,5001806,
2025-02-18,142.9,144.15,141.6,144.1,141.2874,8738725,
2025-02-19,144.23,145.93,144.15,145.81,142.964,5777273,
2025-02-20,145.11,149.1899,145.0,149.1,146.1898,6789805,
2025-02-21,149.99,154.55,148.9,153.5,150.5039,10604400,
2025-02-24,152.34,156.32,152.12,153.85,150.8471,7187038,
2025-02-25,154.79,158.46,154.0,156.42,153.3669,9474619,
2025-02-26,155.57,155.61,151.14,151.51,148.5527,9076519,
2025-02-27,150.9,152.6893,149.93,152.02,149.0528,6730985,
2025-02-28,153.7,155.1,152.35,153.47,150.4745,8455499,Data is limited by one year as you have free subscription
