date,open,high,low,close,adjusted_close,volume,warning
2024-06-10,176.06,178.57,173.17,173.79,173.79,50869680,
2024-06-11,173.92,174.75,167.41,170.66,170.66,64761930,
2024-06-12,171.12,180.55,169.8,177.29,177.29,90389445,
2024-06-13,188.39,191.08,181.23,182.47,182.47,118984094,
2024-06-14,185.8,186.0,176.92,178.01,178.01,82038195,
2024-06-17,177.92,188.81,177.0,187.44,187.44,109786094,
2024-06-18,186.56,187.2,182.37,184.86,184.86,68982273,
2024-06-20,184.68,185.21,179.66,181.57,181.57,55893141,
2024-06-21,182.3,183.95,180.69,183.01,183.01,63029480,
2024-06-24,184.97,188.8,182.55,182.58,182.58,61992070,
2024-06-25,184.4,187.97,182.01,187.35,187.35,63678273,
2024-06-26,186.54,197.755,186.36,196.37,196.37,95737070,
2024-06-27,195.17,198.72,194.05,197.42,197.42,72746523,
2024-06-28,199.55,203.2,195.26,197.88,197.88,95438070,
2024-07-01,201.02,213.23,200.85,209.86,209.86,135691391,
2024-07-02,218.89,231.3,218.06,231.26,231.26,205047906,
2024-07-03,234.56,248.35,234.25,246.39,246.39,166561500,
2024-07-05,249.81,252.37,242.4601,251.52,251.52,154501203,
2024-07-08,247.71,259.439,244.57,252.94,252.94,157219594,
2024-07-09,251.0,265.61,250.3,262.33,262.33,160742500,
2024-07-10,262.8,267.59,257.86,263.26,263.26,128519398,
2024-07-11,263.3,271.0,239.65,241.03,241.03,221707297,
2024-07-12,235.8,251.84,233.0912,248.23,248.23,155955812,
2024-07-15,255.97,265.6,251.73,252.64,252.64,146912891,
2024-07-16,255.31,258.62,245.8001,256.56,256.56,126332492,
2024-07-17,252.73,258.47,246.182,248.5,248.5,115584797,
2024-07-18,251.09,257.14,247.2,249.23,249.23,110869000,
2024-07-19,247.79,249.44,236.83,239.2,239.2,87403906,
2024-07-22,244.21,253.21,243.75,251.51,251.51,101225398,
2024-07-23,253.6,255.7594,245.63,246.38,246.38,111928203,
2024-07-24,225.42,225.99,214.71,215.99,215.99,167942891,
2024-07-25,216.8,226.0,216.231,220.25,220.25,100636492,
2024-07-26,221.19,222.2799,215.33,219.8,219.8,94604148,
2024-07-29,224.9,234.27,224.7,232.1,232.1,129201797,
2024-07-30,232.25,232.41,220.0,222.62,222.62,100560305,
2024-07-31,227.9,234.68,226.7875,232.07,232.07,67497008,
2024-08-01,227.69,231.867,214.3328,216.86,216.86,83861906,
2024-08-02,214.88,216.13,205.78,207.67,207.67,82880117,
2024-08-05,185.22,203.8799,182.0,198.88,198.88,100308797,
2024-08-06,200.75,202.9,192.67,200.64,200.64,73783938,
2024-08-07,200.77,203.49,191.48,191.76,191.76,71159773,
2024-08-08,195.7,200.7,192.04,198.84,198.84,65033871,
2024-08-09,197.05,200.88,195.11,200.0,200.0,58648273,
2024-08-12,199.02,199.26,194.67,197.49,197.49,64044898,
2024-08-13,198.47,208.49,197.06,207.83,207.83,76247391,
2024-08-14,207.39,208.44,198.75,201.38,201.38,70250008,
2024-08-15,205.02,215.88,204.82,214.14,214.14,89848531,
2024-08-16,211.15,219.8,210.8,216.12,216.12,88765117,
2024-08-19,217.07,222.98,214.09,222.72,222.72,76435219,
2024-08-20,224.88,228.22,219.56,221.1,221.1,74001188,
2024-08-21,222.67,224.6594,218.86,223.27,223.27,70145961,
2024-08-22,223.82,224.8,210.32,210.66,210.66,79514477,
2024-08-23,214.455,221.48,214.21,220.32,220.32,81525211,
2024-08-26,218.75,219.09,211.01,213.21,213.21,59301191,
2024-08-27,213.25,215.66,206.94,209.21,209.21,62821391,
2024-08-28,209.72,211.84,202.59,205.75,205.75,64116352,
